,Customer has bounced in first EMI,No of times bounced 12 months,Maximum MOB,No of times bounced while repaying the loan,EMI,Loan Amount,Tenure,Dealer codes from where customer has purchased the Two wheeler,Product code of Two wheeler,No of advance EMI paid,Rate of interest,Gender,Employment type,Resident type of customer,Customer age when loanwas taken,No of loans,No of secured loans,No of unsecured loans,No of new loans in last 3 months,Maximum amount sanctioned for any Two wheeler loan,No of times 30 days past due in last 6 months,No of times 60 days past due in last 6 months,No of times 90 days past due in last 3 months,Tier,Target variable,Age
count,119528.0,119528.0,85048.0,85048.0,85048.0,85048.0,85048.0,119528,85048,85048.0,85048.0,85048,85048,84131,85048.0,119528.0,119528.0,119528.0,119528.0,104467.0,119528.0,119528.0,119528.0,119528,119528.0,85048.0
unique,,,,,,,,3251,5,,,2,5,3,,,,,,,,,,4,,
top,,,,,,,,nan,SC,,,MALE,SELF,OWNED,,,,,,,,,,TIER 4,,
freq,,,,,,,,34480,28949,,,73608,59290,73013,,,,,,,,,,41063,,
mean,0.028378287932534635,0.47306070544140283,17.217147963502963,0.6908569278525069,2325.70129809049,39338.081648010535,21.060048443232056,,,0.6439304863136112,11.703802911294149,,,,37.00364500047032,3.6443845793454255,2.2478833411418244,0.909719898266515,0.0,41415.21004719193,1.0768773843785557,0.8239910313901345,0.34489826651495886,,0.02186935278763135,41.191103847239205
std,0.16605177322295098,0.8590416512583275,5.203208583139494,1.091658207757566,575.6143652153839,11016.6197445701,5.6988996792420465,,,0.969123342569399,3.980541560408621,,,,9.88604683719482,6.9890119145110665,5.387067196590563,2.4765970411111895,0.0,13044.008078230434,3.7378817712018413,3.1726120802430273,1.4781804191019245,,0.14625752343312226,9.89453063866235
min,0.0,0.0,2.0,0.0,681.0,10000.0,6.0,,,0.0,0.0,,,,18.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,,0.0,22.0
25%,0.0,0.0,14.0,0.0,1895.0,30000.0,18.0,,,0.0,9.5,,,,29.0,1.0,1.0,0.0,0.0,31000.0,0.0,0.0,0.0,,0.0,33.0
50%,0.0,0.0,17.0,0.0,2320.0,39700.0,24.0,,,0.0,12.6,,,,36.0,1.0,1.0,0.0,0.0,42250.0,0.0,0.0,0.0,,0.0,41.0
75%,0.0,1.0,21.0,1.0,2689.0,48000.0,24.0,,,1.0,14.09,,,,45.0,4.0,2.0,1.0,0.0,49300.0,0.0,0.0,0.0,,0.0,49.0
max,1.0,12.0,36.0,29.0,7840.0,96000.0,36.0,,,6.0,20.65,,,,67.0,555.0,523.0,54.0,0.0,700000.0,314.0,243.0,96.0,,1.0,73.0
